
=================== Run: 2025-10-31 06:22:00.639239 ===================

🚀 Expert Supreme — 3-Fold Stratified CV
Supreme[fold 1] ✅ Using 2 GPUs
Supreme[F3] Ep24 | loss=0.3292 | acc=0.5891 | f1=0.5787 | prec=0.5784 | rec=0.5795 | mcc=0.1579 | thr=0.54
Supreme[F3] Ep25 | loss=0.3296 | acc=0.5896 | f1=0.5803 | prec=0.5800 | rec=0.5814 | mcc=0.1615 | thr=0.54
Supreme[F3] Ep26 | loss=0.3278 | acc=0.5885 | f1=0.5798 | prec=0.5796 | rec=0.5812 | mcc=0.1608 | thr=0.54
Supreme[F3] Ep27 | loss=0.3275 | acc=0.5902 | f1=0.5799 | prec=0.5796 | rec=0.5807 | mcc=0.1604 | thr=0.54
Supreme[F3] Ep28 | loss=0.3279 | acc=0.5897 | f1=0.5799 | prec=0.5797 | rec=0.5809 | mcc=0.1606 | thr=0.54
Supreme[F3] Ep29 | loss=0.3290 | acc=0.5904 | f1=0.5806 | prec=0.5803 | rec=0.5815 | mcc=0.1618 | thr=0.54
Supreme[F3] Ep30 | loss=0.3266 | acc=0.5904 | f1=0.5804 | prec=0.5802 | rec=0.5814 | mcc=0.1615 | thr=0.54
⚠️  SWA eval skipped for supreme[F3]: 'dict' object has no attribute 'to'
🏁 Supreme[F3] Best Ep29 | Acc=0.5904 | F1=0.5806
✅ Supreme | Mean Acc=0.5902±0.0020 | Mean F1=0.5797±0.0013

🚀 Expert High — 3-Fold Stratified CV
High[fold 1] ✅ Using 2 GPUs
High[F1] Ep01 | loss=0.3445 | acc=0.5177 | f1=0.4970 | prec=0.5023 | rec=0.5021 | mcc=0.0044 | thr=0.37
High[F1] Ep02 | loss=0.3044 | acc=0.5387 | f1=0.5297 | prec=0.5306 | rec=0.5300 | mcc=0.0607 | thr=0.36
High[F1] Ep03 | loss=0.2904 | acc=0.5852 | f1=0.5779 | prec=0.5790 | rec=0.5778 | mcc=0.1568 | thr=0.40
High[F1] Ep04 | loss=0.2833 | acc=0.5982 | f1=0.5949 | prec=0.5948 | rec=0.5952 | mcc=0.1900 | thr=0.42
High[F1] Ep05 | loss=0.2777 | acc=0.6055 | f1=0.6030 | prec=0.6029 | rec=0.6037 | mcc=0.2067 | thr=0.42
High[F1] Ep06 | loss=0.2737 | acc=0.6173 | f1=0.6103 | prec=0.6118 | rec=0.6100 | mcc=0.2218 | thr=0.43
High[F1] Ep07 | loss=0.2716 | acc=0.6188 | f1=0.6168 | prec=0.6168 | rec=0.6179 | mcc=0.2347 | thr=0.43
High[F1] Ep08 | loss=0.2676 | acc=0.6268 | f1=0.6220 | prec=0.6223 | rec=0.6217 | mcc=0.2440 | thr=0.45
